timestamp,packet_size,ttl,proto,csum,src_ip,dst_ip,src_port,dst_port,tcp_flag,type_icmp,code_icmp,csum_icmp,port_no,rx_bytes_ave,tx_bytes_ave,request_type,id,label
12:26.1,93,123,6,24040,8.8.4.4,192.168.31.185,443,61081,24,0,0,0,0,124.1176471,150.75,tcp,192.168.31.1858.8.4.461081443,normal
12:26.1,54,128,6,0,192.168.31.185,8.8.4.4,61081,443,16,0,0,0,0,143.3076923,120.2222222,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.1,89,128,6,0,192.168.31.185,8.8.4.4,61081,443,24,0,0,0,0,139.4285714,118.5789474,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.1,93,128,6,0,192.168.31.185,8.8.4.4,61081,443,24,0,0,0,0,136.3333333,117.3,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.1,66,128,6,0,192.168.31.185,74.125.131.84,61139,443,2,0,0,0,0,66,114.8571429,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.1,89,128,6,0,192.168.31.185,8.8.4.4,61081,443,24,0,0,0,0,133.375,113.6818182,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.1,146,123,6,23986,8.8.4.4,192.168.31.185,443,61081,24,0,0,0,0,115.0869565,134.1176471,tcp,192.168.31.1858.8.4.461081443,normal
12:26.2,553,123,6,23578,8.8.4.4,192.168.31.185,443,61081,24,0,0,0,0,133.3333333,157.3888889,tcp,192.168.31.1858.8.4.461081443,normal
12:26.2,54,128,6,0,192.168.31.185,8.8.4.4,61081,443,16,0,0,0,0,151.9473684,130.16,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.2,85,123,6,24045,8.8.4.4,192.168.31.185,443,61081,24,0,0,0,0,128.4230769,148.6,tcp,192.168.31.1858.8.4.461081443,normal
12:26.2,60,123,6,24075,8.8.4.4,192.168.31.185,443,61081,16,0,0,0,0,125.8888889,144.3809524,tcp,192.168.31.1858.8.4.461081443,normal
12:26.2,60,123,6,24074,8.8.4.4,192.168.31.185,443,61081,16,0,0,0,0,123.5357143,140.5454545,tcp,192.168.31.1858.8.4.461081443,normal
12:26.2,54,128,6,0,192.168.31.185,8.8.4.4,61081,443,16,0,0,0,0,136.7826087,121.137931,tcp,8.8.4.4192.168.31.18544361081,normal
12:26.2,66,59,6,37265,74.125.131.84,192.168.31.185,443,61139,18,0,0,0,0,119.3,66,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.3,54,128,6,0,192.168.31.185,74.125.131.84,61139,443,16,0,0,0,0,62,117.1935484,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.3,2242,128,6,0,192.168.31.185,74.125.131.84,61139,443,24,0,0,0,0,607,183.59375,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.3,60,59,6,10298,74.125.131.84,192.168.31.185,443,61139,16,0,0,0,0,179.8484848,497.6,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,60,59,6,10297,74.125.131.84,192.168.31.185,443,61139,16,0,0,0,0,176.3235294,424.6666667,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,1466,59,6,8884,74.125.131.84,192.168.31.185,443,61139,16,0,0,0,0,213.1714286,573.4285714,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,110,59,6,10239,74.125.131.84,192.168.31.185,443,61139,24,0,0,0,0,210.3055556,515.5,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,54,128,6,0,192.168.31.185,74.125.131.84,61139,443,16,0,0,0,0,464.2222222,206.0810811,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.4,128,128,6,0,192.168.31.185,74.125.131.84,61139,443,24,0,0,0,0,430.6,204.0263158,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.4,146,128,6,0,192.168.31.185,74.125.131.84,61139,443,24,0,0,0,0,404.7272727,202.5384615,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.4,5165,128,6,0,192.168.31.185,74.125.131.84,61139,443,24,0,0,0,0,801.4166667,326.6,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.4,111,128,6,0,192.168.31.185,74.125.131.84,61139,443,24,0,0,0,0,748.3076923,321.3414634,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.4,1022,59,6,9326,74.125.131.84,192.168.31.185,443,61139,24,0,0,0,0,338.0238095,767.8571429,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,85,59,6,10262,74.125.131.84,192.168.31.185,443,61139,24,0,0,0,0,332.1395349,722.3333333,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,54,128,6,0,192.168.31.185,74.125.131.84,61139,443,16,0,0,0,0,680.5625,325.8181818,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.4,85,128,6,0,192.168.31.185,74.125.131.84,61139,443,24,0,0,0,0,645.5294118,320.4666667,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.4,60,59,6,10292,74.125.131.84,192.168.31.185,443,61139,16,0,0,0,0,314.8043478,613,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,60,59,6,10291,74.125.131.84,192.168.31.185,443,61139,16,0,0,0,0,309.3829787,583.8947368,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,1466,122,6,58285,74.125.131.84,192.168.31.185,443,61139,24,0,0,0,0,333.4791667,628,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,240,122,6,59510,74.125.131.84,192.168.31.185,443,61139,24,0,0,0,0,331.5714286,609.5238095,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,54,128,6,0,192.168.31.185,74.125.131.84,61139,443,16,0,0,0,0,584.2727273,326.02,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.4,576,122,6,59173,74.125.131.84,192.168.31.185,443,61139,24,0,0,0,0,330.9215686,583.9130435,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,93,122,6,59655,74.125.131.84,192.168.31.185,443,61139,24,0,0,0,0,326.3461538,563.4583333,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.4,54,128,6,0,192.168.31.185,74.125.131.84,61139,443,16,0,0,0,0,543.08,321.2075472,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.5,93,128,6,0,192.168.31.185,74.125.131.84,61139,443,24,0,0,0,0,525.7692308,316.9814815,tcp,74.125.131.84192.168.31.18544361139,normal
12:26.5,60,122,6,59693,74.125.131.84,192.168.31.185,443,61139,16,0,0,0,0,312.3090909,508.5185185,tcp,192.168.31.18574.125.131.8461139443,normal
12:26.5,60,122,6,59692,74.125.131.84,192.168.31.185,443,61139,16,0,0,0,0,307.8035714,492.5,tcp,192.168.31.18574.125.131.8461139443,normal
12:30.5,102,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,88.33333333,304.1929825,tcp,52.7.247.124192.168.31.185809560835,normal
12:30.7,60,241,6,18053,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,299.9827586,81.25,tcp,192.168.31.18552.7.247.124608358095,normal
12:31.4,102,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,85.4,296.6271186,tcp,52.7.247.124192.168.31.185809560835,normal
12:31.5,836,128,6,0,192.168.31.185,162.247.243.29,56810,443,24,0,0,0,0,836,305.6166667,tcp,162.247.243.29192.168.31.18544356810,normal
12:31.5,514,59,6,58627,162.247.243.29,192.168.31.185,443,56810,24,0,0,0,0,309.0327869,675,tcp,192.168.31.185162.247.243.2956810443,normal
12:31.5,1197,128,6,0,192.168.31.185,162.247.243.29,61123,443,24,0,0,0,0,849,323.3548387,tcp,162.247.243.29192.168.31.18544361123,normal
12:31.5,60,241,6,18052,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,319.1746032,81.16666667,tcp,192.168.31.18552.7.247.124608358095,normal
12:31.6,54,128,6,0,192.168.31.185,162.247.243.29,56810,443,16,0,0,0,0,650.25,315.03125,tcp,162.247.243.29192.168.31.18544356810,normal
12:31.6,60,59,6,60188,162.247.243.29,192.168.31.185,443,61123,16,0,0,0,0,311.1076923,532.2,tcp,192.168.31.185162.247.243.2961123443,normal
12:31.7,434,59,6,59807,162.247.243.29,192.168.31.185,443,61123,24,0,0,0,0,312.969697,515.8333333,tcp,192.168.31.185162.247.243.2961123443,normal
12:31.8,54,128,6,0,192.168.31.185,162.247.243.29,61123,443,16,0,0,0,0,449.8571429,309.1044776,tcp,162.247.243.29192.168.31.18544361123,normal
12:32.7,54,128,6,0,192.168.31.185,151.101.1.91,60901,443,20,0,0,0,0,54,297.9428571,tcp,151.101.1.91192.168.31.18544360901,normal
12:33.7,102,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,84.14285714,291.7222222,tcp,52.7.247.124192.168.31.185809560835,normal
12:33.9,60,241,6,18051,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,288.5479452,81.125,tcp,192.168.31.18552.7.247.124608358095,normal
12:33.9,55,128,6,0,192.168.31.185,52.85.243.13,61133,443,16,0,0,0,0,55,285.3918919,tcp,52.85.243.13192.168.31.18544361133,normal
12:34.0,66,247,6,30872,52.85.243.13,192.168.31.185,443,61133,16,0,0,0,0,282.4666667,60.5,tcp,192.168.31.18552.85.243.1361133443,normal
12:34.4,103,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,83.55555556,271.2151899,tcp,52.7.247.124192.168.31.185809560835,normal
12:34.5,60,241,6,18050,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,268.575,81.2,tcp,192.168.31.18552.7.247.124608358095,normal
12:34.6,92,128,17,0,192.168.31.185,8.8.8.8,61637,53,0,0,0,0,0,92,266.3950617,udp,8.8.8.8192.168.31.1855361637,normal
12:34.7,215,123,17,60520,8.8.8.8,192.168.31.185,53,61637,0,0,0,0,0,265.7682927,153.5,udp,192.168.31.1858.8.8.86163753,normal
12:34.7,66,128,6,0,192.168.31.185,52.182.143.211,61140,443,2,0,0,0,0,66,263.3614458,tcp,52.182.143.211192.168.31.18544361140,normal
12:34.9,66,115,6,45767,52.182.143.211,192.168.31.185,443,61140,18,0,0,0,0,261.0119048,66,tcp,192.168.31.18552.182.143.21161140443,normal
12:34.9,54,128,6,0,192.168.31.185,52.182.143.211,61140,443,16,0,0,0,0,62,258.5764706,tcp,52.182.143.211192.168.31.18544361140,normal
12:34.9,571,128,6,0,192.168.31.185,52.182.143.211,61140,443,24,0,0,0,0,189.25,262.2093023,tcp,52.182.143.211192.168.31.18544361140,normal
12:35.1,123,128,6,0,192.168.31.185,31.13.72.54,59505,443,24,0,0,0,0,123,260.6091954,tcp,31.13.72.54192.168.31.18544359505,normal
12:35.1,60,56,6,17378,31.13.72.54,192.168.31.185,443,59505,16,0,0,0,0,258.3295455,91.5,tcp,192.168.31.18531.13.72.5459505443,normal
12:35.2,153,115,6,45679,52.182.143.211,192.168.31.185,443,61140,24,0,0,0,0,257.1460674,182,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.2,491,128,6,0,192.168.31.185,52.182.143.211,61140,443,24,0,0,0,0,233.5,259.7444444,tcp,52.182.143.211192.168.31.18544361140,normal
12:35.2,90,128,6,0,192.168.31.185,34.195.201.185,56686,443,24,0,0,0,0,90,257.8791209,tcp,34.195.201.185192.168.31.18544356686,normal
12:35.2,125,56,6,17306,31.13.72.54,192.168.31.185,443,59505,24,0,0,0,0,256.4347826,102.6666667,tcp,192.168.31.18531.13.72.5459505443,normal
12:35.3,54,128,6,0,192.168.31.185,31.13.72.54,59505,443,16,0,0,0,0,90.5,254.2580645,tcp,31.13.72.54192.168.31.18544359505,normal
12:35.3,60,241,6,29622,34.195.201.185,192.168.31.185,443,56686,16,0,0,0,0,252.1914894,75,tcp,192.168.31.18534.195.201.18556686443,normal
12:35.4,1514,115,6,44317,52.182.143.211,192.168.31.185,443,61140,16,0,0,0,0,265.4736842,416.4285714,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.4,1514,115,6,44316,52.182.143.211,192.168.31.185,443,61140,16,0,0,0,0,278.4791667,553.625,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.4,54,128,6,0,192.168.31.185,52.182.143.211,61140,443,16,0,0,0,0,498.1111111,276.1649485,tcp,52.182.143.211192.168.31.18544361140,normal
12:35.6,1514,115,6,44315,52.182.143.211,192.168.31.185,443,61140,16,0,0,0,0,288.7959184,599.7,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.6,205,115,6,45623,52.182.143.211,192.168.31.185,443,61140,24,0,0,0,0,287.9494949,563.8181818,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.6,54,128,6,0,192.168.31.185,52.182.143.211,61140,443,16,0,0,0,0,521.3333333,285.61,tcp,52.182.143.211192.168.31.18544361140,normal
12:35.6,9236,128,6,0,192.168.31.185,52.182.143.211,61140,443,24,0,0,0,0,1191.692308,374.2277228,tcp,52.182.143.211192.168.31.18544361140,normal
12:35.6,60,115,6,45773,52.182.143.211,192.168.31.185,443,61140,16,0,0,0,0,371.1470588,1110.857143,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.6,60,115,6,45772,52.182.143.211,192.168.31.185,443,61140,16,0,0,0,0,368.1262136,1040.8,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.6,60,115,6,45771,52.182.143.211,192.168.31.185,443,61140,16,0,0,0,0,365.1634615,979.5,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.6,157,115,6,45667,52.182.143.211,192.168.31.185,443,61140,24,0,0,0,0,363.1809524,931.1176471,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.7,54,128,6,0,192.168.31.185,52.182.143.211,61140,443,16,0,0,0,0,882.3888889,360.2641509,tcp,52.182.143.211192.168.31.18544361140,normal
12:35.9,519,115,6,45304,52.182.143.211,192.168.31.185,443,61140,25,0,0,0,0,361.7476636,863.2631579,tcp,192.168.31.18552.182.143.21161140443,normal
12:35.9,54,128,6,0,192.168.31.185,52.182.143.211,61140,443,16,0,0,0,0,822.8,358.8981481,tcp,52.182.143.211192.168.31.18544361140,normal
12:35.9,78,128,6,0,192.168.31.185,52.182.143.211,61140,443,24,0,0,0,0,787.3333333,356.3211009,tcp,52.182.143.211192.168.31.18544361140,normal
12:36.1,54,128,6,0,192.168.31.185,52.182.143.211,61140,443,17,0,0,0,0,754,353.5727273,tcp,52.182.143.211192.168.31.18544361140,normal
12:36.1,60,115,6,45768,52.182.143.211,192.168.31.185,443,61140,16,0,0,0,0,350.9279279,723.826087,tcp,192.168.31.18552.182.143.21161140443,normal
12:36.5,55,128,6,0,192.168.31.185,142.250.187.142,61126,443,16,0,0,0,0,55,348.2857143,tcp,142.250.187.142192.168.31.18544361126,normal
12:36.6,103,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,83.18181818,346.1150442,tcp,52.7.247.124192.168.31.185809560835,normal
12:36.6,66,123,6,25900,142.250.187.142,192.168.31.185,443,61126,16,0,0,0,0,343.6578947,60.5,tcp,192.168.31.185142.250.187.14261126443,normal
12:36.7,60,241,6,18049,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,341.1913043,81.25,tcp,192.168.31.18552.7.247.124608358095,normal
12:37.3,55,128,6,0,192.168.31.185,172.217.17.227,61134,443,16,0,0,0,0,55,338.7241379,tcp,172.217.17.227192.168.31.18544361134,normal
12:37.3,66,123,6,29043,172.217.17.227,192.168.31.185,443,61134,16,0,0,0,0,336.3931624,60.5,tcp,192.168.31.185172.217.17.22761134443,normal
12:37.7,104,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,83,334.4237288,tcp,52.7.247.124192.168.31.185809560835,normal
12:37.8,60,241,6,18048,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,332.1176471,81.35714286,tcp,192.168.31.18552.7.247.124608358095,normal
12:39.0,124,128,6,0,192.168.31.185,31.13.72.52,56875,443,24,0,0,0,0,124,330.3833333,tcp,31.13.72.52192.168.31.18544356875,normal
12:39.1,60,56,6,55207,31.13.72.52,192.168.31.185,443,56875,16,0,0,0,0,328.1487603,92,tcp,192.168.31.18531.13.72.5256875443,normal
12:39.2,126,56,6,55134,31.13.72.52,192.168.31.185,443,56875,24,0,0,0,0,326.4918033,103.3333333,tcp,192.168.31.18531.13.72.5256875443,normal
12:39.2,54,128,6,0,192.168.31.185,31.13.72.52,56875,443,16,0,0,0,0,91,324.2764228,tcp,31.13.72.52192.168.31.18544356875,normal
12:40.3,55,128,6,0,192.168.31.185,74.125.128.188,56778,5228,16,0,0,0,0,55,322.1048387,tcp,74.125.128.188192.168.31.185522856778,normal
12:40.4,66,122,6,37842,74.125.128.188,192.168.31.185,5228,56778,16,0,0,0,0,320.056,60.5,tcp,192.168.31.18574.125.128.188567785228,normal
12:41.5,836,128,6,0,192.168.31.185,162.247.243.29,56810,443,24,0,0,0,0,498.125,324.1507937,tcp,162.247.243.29192.168.31.18544356810,normal
12:41.5,514,59,6,58626,162.247.243.29,192.168.31.185,443,56810,24,0,0,0,0,325.6456693,499.8888889,tcp,192.168.31.185162.247.243.2956810443,normal
12:41.5,1197,128,6,0,192.168.31.185,162.247.243.29,61123,443,24,0,0,0,0,569.6,332.453125,tcp,162.247.243.29192.168.31.18544361123,normal
12:41.6,54,128,6,0,192.168.31.185,162.247.243.29,56810,443,16,0,0,0,0,522.7272727,330.2945736,tcp,162.247.243.29192.168.31.18544356810,normal
12:41.6,60,59,6,60186,162.247.243.29,192.168.31.185,443,61123,16,0,0,0,0,328.2153846,484.1666667,tcp,192.168.31.185162.247.243.2961123443,normal
12:41.7,434,59,6,59805,162.247.243.29,192.168.31.185,443,61123,24,0,0,0,0,329.0229008,480.3076923,tcp,192.168.31.185162.247.243.2961123443,normal
12:41.8,54,128,6,0,192.168.31.185,162.247.243.29,61123,443,16,0,0,0,0,449.8571429,326.9393939,tcp,162.247.243.29192.168.31.18544361123,normal
12:42.1,92,128,6,0,192.168.31.185,54.208.62.70,60846,9000,24,0,0,0,0,92,325.1729323,tcp,54.208.62.70192.168.31.185900060846,normal
12:42.1,416,2,17,42935,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,231,416,udp,239.255.255.250192.168.31.1190018359,normal
12:42.1,488,2,17,42863,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,316.6666667,452,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,425,2,17,42926,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,343.75,443,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,484,2,17,42867,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,371.8,453.25,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,425,2,17,42926,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,380.6666667,447.6,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,464,2,17,42887,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,392.5714286,450.3333333,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,425,2,17,42926,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,396.625,446.7142857,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,496,2,17,42855,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,407.6666667,452.875,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,478,2,17,42873,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,414.7,455.6666667,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,480,2,17,42871,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,420.6363636,458.1,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,480,2,17,42871,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,425.5833333,460.0909091,udp,239.255.255.250192.168.31.1190018359,normal
12:42.3,60,241,6,18852,54.208.62.70,192.168.31.185,9000,60846,16,0,0,0,0,323.1940299,76,tcp,192.168.31.18554.208.62.70608469000,normal
12:42.4,480,2,17,42871,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,429.7692308,461.75,udp,239.255.255.250192.168.31.1190018359,normal
12:42.4,480,2,17,42871,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,433.3571429,463.1538462,udp,239.255.255.250192.168.31.1190018359,normal
12:42.4,478,2,17,42873,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,436.3333333,464.2142857,udp,239.255.255.250192.168.31.1190018359,normal
12:42.4,496,2,17,42855,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,440.0625,466.3333333,udp,239.255.255.250192.168.31.1190018359,normal
12:44.1,425,2,17,42926,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,439.1764706,463.75,udp,239.255.255.250192.168.31.1190018359,normal
12:44.1,464,2,17,42887,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,440.5555556,463.7647059,udp,239.255.255.250192.168.31.1190018359,normal
12:44.1,425,2,17,42926,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,439.7368421,461.6111111,udp,239.255.255.250192.168.31.1190018359,normal
12:44.1,484,2,17,42867,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,441.95,462.7894737,udp,239.255.255.250192.168.31.1190018359,normal
12:44.2,425,2,17,42926,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,441.1428571,460.9,udp,239.255.255.250192.168.31.1190018359,normal
12:44.2,488,2,17,42863,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,443.2727273,462.1904762,udp,239.255.255.250192.168.31.1190018359,normal
12:44.2,416,2,17,42935,192.168.31.1,239.255.255.250,18359,1900,0,0,0,0,0,442.0869565,460.0909091,udp,239.255.255.250192.168.31.1190018359,normal
12:44.6,55,128,6,0,192.168.31.185,31.13.72.8,61119,443,16,0,0,0,0,55,315.2246377,tcp,31.13.72.8192.168.31.18544361119,normal
12:44.6,55,128,6,0,192.168.31.185,31.13.72.8,61118,443,16,0,0,0,0,55,313.352518,tcp,31.13.72.8192.168.31.18544361118,normal
12:44.6,55,128,6,0,192.168.31.185,31.13.72.8,61117,443,16,0,0,0,0,55,311.5071429,tcp,31.13.72.8192.168.31.18544361117,normal
12:44.6,66,56,6,2398,31.13.72.8,192.168.31.185,443,61119,16,0,0,0,0,309.7659574,57.75,tcp,192.168.31.18531.13.72.861119443,normal
12:45.5,66,56,6,22021,31.13.72.8,192.168.31.185,443,61118,16,0,0,0,0,308.0492958,59.4,tcp,192.168.31.18531.13.72.861118443,normal
12:45.5,66,56,6,7871,31.13.72.8,192.168.31.185,443,61117,16,0,0,0,0,306.3566434,60.5,tcp,192.168.31.18531.13.72.861117443,normal
12:45.5,103,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,82.8,304.9444444,tcp,52.7.247.124192.168.31.185809560835,normal
12:45.7,60,241,6,18047,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,303.2551724,81.375,tcp,192.168.31.18552.7.247.124608358095,normal
12:46.0,55,128,6,0,192.168.31.185,35.171.207.39,60844,443,16,0,0,0,0,55,301.5547945,tcp,35.171.207.39192.168.31.18544360844,normal
12:46.1,55,128,6,0,192.168.31.185,72.25.64.32,56671,443,16,0,0,0,0,55,299.877551,tcp,72.25.64.32192.168.31.18544356671,normal
12:46.1,66,239,6,4640,35.171.207.39,192.168.31.185,443,60844,16,0,0,0,0,298.2972973,60.5,tcp,192.168.31.18535.171.207.3960844443,normal
12:46.3,60,239,6,4385,72.25.64.32,192.168.31.185,443,56671,16,0,0,0,0,296.6979866,57.5,tcp,192.168.31.18572.25.64.3256671443,normal
12:46.4,103,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,82.64705882,295.4066667,tcp,52.7.247.124192.168.31.185809560835,normal
12:46.5,60,241,6,18046,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,293.8476821,81.38888889,tcp,192.168.31.18552.7.247.124608358095,normal
12:48.7,103,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,82.52631579,292.5921053,tcp,52.7.247.124192.168.31.185809560835,normal
12:48.9,60,241,6,18045,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,291.0718954,81.4,tcp,192.168.31.18552.7.247.124608358095,normal
12:49.4,103,128,6,0,192.168.31.185,52.7.247.124,60835,8095,24,0,0,0,0,82.42857143,289.8506494,tcp,52.7.247.124192.168.31.185809560835,normal
12:49.5,60,241,6,18044,52.7.247.124,192.168.31.185,8095,60835,16,0,0,0,0,288.3677419,81.40909091,tcp,192.168.31.18552.7.247.124608358095,normal
12:50.5,92,241,6,18813,54.208.62.70,192.168.31.185,9000,60846,24,0,0,0,0,287.1089744,81.33333333,tcp,192.168.31.18554.208.62.70608469000,normal
12:50.6,54,128,6,0,192.168.31.185,54.208.62.70,60846,9000,16,0,0,0,0,74.5,285.6242038,tcp,54.208.62.70192.168.31.185900060846,normal
12:51.5,836,128,6,0,192.168.31.185,162.247.243.29,56810,443,24,0,0,0,0,475.6,289.1075949,tcp,162.247.243.29192.168.31.18544356810,normal
12:51.6,514,59,6,58625,162.247.243.29,192.168.31.185,443,56810,24,0,0,0,0,290.5220126,478,tcp,192.168.31.185162.247.243.2956810443,normal
12:51.6,1197,128,6,0,192.168.31.185,162.247.243.29,61123,443,24,0,0,0,0,520.2941176,296.1875,tcp,162.247.243.29192.168.31.18544361123,normal
